application,conf,threads,CH,CHv2,CA,CB,CBv2,CC,NBC,SP(16)
__cere__lulesh__ZL28CalcHourglassControlForElemsR6DomainPdd_1037,conf1,64,26.244010154520527,0.002624401015452053,452253.6455078125,188.84890505596462,0.6537982375919862,0.504150390625,0.9572618300459258,0.7494113049068865
__cere__lulesh__ZL28CalcHourglassControlForElemsR6DomainPdd_1037,conf2,16,485.4021017008816,0.048540210170088166,4108073.2890625,405.87921880144006,0.8023243567171505,0.6796875,0.9020705686237139,0.0
__cere__lulesh__ZL28CalcHourglassControlForElemsR6DomainPdd_1037,conf2,32,79.31492428226896,0.007931492428226895,853566.09375,431.30373069015786,0.8117837420977619,0.5537109375,0.9329882233050567,0.528762935390731
__cere__lulesh__ZL28CalcHourglassControlForElemsR6DomainPdd_1037,conf2,64,70.75603861776405,0.007075603861776404,993159.0688476562,872.610978806529,0.8971839695633418,0.541259765625,0.9662051835695242,0.7574492322680917
__cere__lu_rhs_2331,conf1,16,329.0610941902771,0.03290610941902771,1158848.5546875,21.411895826147198,0.17635747865108242,0.46875,0.8041799101296772,0.0
__cere__lu_rhs_2331,conf1,32,161.7382104101813,0.016173821041018128,779249.6171875,131.89238212550856,0.5687654804206703,0.478515625,0.8808448744926898,0.48580257262919135
__cere__lu_rhs_2331,conf1,64,73.21225748390503,0.007321225748390504,909690.1669921875,77.41732767227556,0.4363571962671001,0.48046875,0.9406744986881056,0.7343652277445069
__cere__lu_rhs_2331,conf2,16,286.30512267260804,0.028630512267260808,4775479.9296875,16.983637398839903,0.1451795975614648,0.4921875,0.8360467159918028,0.0
__cere__lu_rhs_2331,conf2,32,171.5594921346966,0.017155949213469662,3361335.013671875,22.298746689320414,0.1823301325071357,0.4873046875,0.9042350079971684,0.49208249763220846
__cere__lu_rhs_2331,conf2,64,143.7713897355671,0.01437713897355671,974722.3784179688,50.702885511274175,0.33644269875297816,0.47802734375,0.9098651848649306,0.7143829772711359
__cere__lu_rhs_2331,conf3,16,458.6028505535493,0.04586028505535493,503221.25,84.42832054488956,0.457783925459213,0.46875,0.8324278492064872,0.0
__cere__lu_rhs_2331,conf3,32,338.9315004944913,0.03389315004944912,435889.19140625,77.8413634779761,0.437701117196034,0.4853515625,0.9161429698934469,0.48103305498020554
__cere__lu_rhs_2331,conf3,64,213.93294421044317,0.021393294421044318,605690.3198242188,90.44280856011744,0.4749079749659709,0.470947265625,0.9608647182358729,0.7456654819725145
