application,conf,threads,CH,CHv2,CA,CB,CBv2,CC,NBC,SP(16)
__cere__bt_adi_214,conf2,32,169.95863481001422,0.01699586348100142,18.822265625,36.4740064335374,0.26725973236009737,0.4912109375,0.932240323752205,0.5019196845491336
__cere__bt_adi_214,conf2,64,99.94794514553607,0.009994794514553606,20.412109375,35.64252224667497,0.26276805869074493,0.470947265625,0.963209262271553,0.7350253564252225
__cere__bt_adi_214,conf3,16,312.6937624007937,0.03126937624007937,18.0625,31.487889273356394,0.23947368421052628,0.51953125,0.8689446366782007,0.0
__cere__bt_adi_214,conf3,32,106.35871887207031,0.01063587188720703,13.8046875,23.146576117713646,0.18795955882352944,0.47265625,0.9216185625353707,0.478494623655914
__cere__bt_adi_214,conf3,64,102.15708799308099,0.0102157087993081,17.232421875,44.71268276096565,0.30897556390977443,0.461669921875,0.9593392270202878,0.7261419018474442
__cere__bt_adi_214,conf4,16,176.20821519559502,0.0176208215195595,15.8125,19.367588932806324,0.16225165562913912,0.4765625,0.8562252964426877,0.0
__cere__bt_adi_214,conf4,32,119.16226627423822,0.011916226627423823,13.81640625,32.54170200735087,0.24552047781569963,0.4755859375,0.9247950240316652,0.4751201583262652
__cere__bt_adi_214,conf4,64,95.01395519868827,0.009501395519868826,16.6064453125,23.35195530726257,0.18931159420289856,0.467041015625,0.9603351955307262,0.726698029991179
__cere__cg_conj_grad_405,conf1,16,272.72401868630834,0.027272401868630836,43.4140625,11.858916681662768,0.10601673101673104,0.5,0.8511786935396797,0.0
__cere__cg_conj_grad_405,conf1,32,147.04501881655796,0.014704501881655797,40.66015625,16.745124411566902,0.14343317972350234,0.4970703125,0.9258814487462772,0.5007685656643289
__cere__cg_conj_grad_405,conf1,64,72.91737618891418,0.007291737618891418,45.7138671875,13.511781418897261,0.11903417645287562,0.489013671875,0.9623379120292239,0.7454230843177885
__cere__cg_conj_grad_405,conf2,16,455.7682608794546,0.045576826087945464,154.1640625,3.258500988192359,0.03155673341185705,0.5,0.8694065778138145,0.0
__cere__cg_conj_grad_405,conf2,32,225.63495244745724,0.022563495244745723,159.978515625,4.740626793148484,0.045260630361805276,0.5,0.9345004822424886,0.5122880269567447
__cere__cg_conj_grad_405,conf2,64,116.13996645408173,0.011613996645408175,163.83349609375,2.590818732099276,0.02525390443432185,0.4990234375,0.9670045390738858,0.7581475333128682
__cere__cg_conj_grad_405,conf3,16,253.85199652777777,0.02538519965277778,30.71875,19.633774160732443,0.1641156462585034,0.48828125,0.8456256358087487,0.0
__cere__cg_conj_grad_405,conf3,32,231.48027967541162,0.023148027967541163,36.21484375,19.512458202998605,0.16326714801444042,0.48828125,0.9237406967964621,0.4968719663466724
__cere__cg_conj_grad_405,conf3,64,164.82895849332465,0.016482895849332466,35.50830078125,22.374554805351956,0.18283665947500904,0.486328125,0.9616754445070888,0.7435678827298855
__cere__cg_conj_grad_405,conf4,16,315.5856662326389,0.03155856662326389,23.0859375,18.578680203045693,0.1566780821917808,0.484375,0.8494077834179357,0.0
__cere__cg_conj_grad_405,conf4,32,161.94331902117767,0.01619433190211777,21.123046875,36.40314378178455,0.26687906724511934,0.4677734375,0.9199260286638927,0.47082755432269996
